colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,model,MSE,R2,Accuracy
0.7,0.2,5,1,100,0.0,1.0,0.9,XGBoost,0.02632203278034092,0.6227642286323547,0.782608695652174
0.9,0.2,5,1,100,0.5,2.0,0.9,XGBoost,0.026965477651237465,0.6183238282791618,0.782608695652174
0.7,0.1,6,3,100,0.5,1.0,0.7,XGBoost,0.025377919464551722,0.633261708394219,0.7608695652173914
0.9,0.1,5,1,100,0.5,2.0,0.7,XGBoost,0.02558570063516456,0.6320905624665629,0.7608695652173914
0.9,0.1,5,1,300,0.5,2.0,0.7,XGBoost,0.025765037943101293,0.629341756672831,0.7608695652173914
0.7,0.2,5,1,200,0.0,1.0,0.9,XGBoost,0.02655440265193687,0.6191603720068551,0.7608695652173914
0.7,0.2,5,1,300,0.0,1.0,0.9,XGBoost,0.026566492509108534,0.6189704703608271,0.7608695652173914
0.9,0.2,5,1,300,0.5,2.0,0.9,XGBoost,0.0271795933857203,0.615033852226145,0.7608695652173914
0.9,0.2,6,1,100,0.5,2.0,0.9,XGBoost,0.02781234254237254,0.6057242668261446,0.7608695652173914
0.9,0.2,6,1,200,0.5,2.0,0.9,XGBoost,0.028002930440255886,0.6032724492539477,0.7608695652173914
0.9,0.2,6,1,300,0.5,2.0,0.9,XGBoost,0.028021590589575495,0.6030341025873311,0.7608695652173914
0.7,0.1,5,3,200,0.5,1.0,0.9,XGBoost,0.02468930519513864,0.6444132634542975,0.7391304347826086
0.7,0.2,6,3,200,0.5,2.0,0.9,XGBoost,0.024895269262032976,0.6427729880566266,0.7391304347826086
0.7,0.1,5,3,300,0.5,1.0,0.9,XGBoost,0.024804544602979366,0.6425501971267418,0.7391304347826086
0.9,0.1,5,3,300,0.5,2.0,0.9,XGBoost,0.02512928687274344,0.6390271566891726,0.7391304347826086
0.9,0.1,5,1,100,0.5,1.0,0.9,XGBoost,0.025332758949098377,0.638611123543264,0.7391304347826086
0.7,0.1,5,1,300,0.0,1.0,0.9,XGBoost,0.025092883130514155,0.637251888027017,0.7391304347826086
0.7,0.1,6,1,100,0.5,2.0,0.9,XGBoost,0.02535853601972835,0.637146853374413,0.7391304347826086
0.7,0.1,6,3,100,0.5,2.0,0.9,XGBoost,0.02518010629379816,0.6370496569331813,0.7391304347826086
0.9,0.1,6,1,100,0.5,1.0,0.7,XGBoost,0.025214730918823067,0.6369444020629202,0.7391304347826086
0.7,0.1,6,3,100,0.0,1.0,0.9,XGBoost,0.02525725649893777,0.6358712851873201,0.7391304347826086
0.9,0.2,3,3,200,0.5,1.0,0.9,XGBoost,0.025572270837944115,0.6319574064999873,0.7391304347826086
0.9,0.05,6,1,200,0.5,2.0,0.7,XGBoost,0.025579556104228626,0.6316063841026827,0.7391304347826086
0.9,0.05,6,1,300,0.5,2.0,0.7,XGBoost,0.025577995063315793,0.6309709018442178,0.7391304347826086
0.9,0.1,5,3,100,0.5,1.0,0.7,XGBoost,0.02563215309998754,0.6293202078987744,0.7391304347826086
0.9,0.1,5,1,200,0.5,2.0,0.7,XGBoost,0.025829509306725954,0.6282418077734814,0.7391304347826086
0.9,0.2,3,3,300,0.5,1.0,0.9,XGBoost,0.02583194224155895,0.6271728703898616,0.7391304347826086
0.7,0.2,5,3,100,0.0,1.0,0.9,XGBoost,0.026093662157650303,0.6224387477627501,0.7391304347826086
0.7,0.2,5,3,200,0.0,1.0,0.9,XGBoost,0.026428581565619714,0.6171623323492771,0.7391304347826086
0.7,0.2,5,3,300,0.0,1.0,0.9,XGBoost,0.02646265692989425,0.6167181368675366,0.7391304347826086
0.9,0.2,5,1,200,0.5,2.0,0.9,XGBoost,0.027116199825081806,0.6164707430344831,0.7391304347826086
0.7,0.05,6,1,200,0.5,1.0,0.9,XGBoost,0.024416805096815403,0.6482476857336692,0.717391304347826
0.7,0.05,6,1,300,0.5,1.0,0.9,XGBoost,0.024484346275994842,0.6472861415010991,0.717391304347826
0.7,0.05,6,1,100,0.5,1.0,0.9,XGBoost,0.024556605130863923,0.6467144626204443,0.717391304347826
0.7,0.05,5,1,300,0.5,1.0,0.9,XGBoost,0.024655249957862772,0.645333115954787,0.717391304347826
0.7,0.1,5,1,100,0.0,1.0,0.9,XGBoost,0.0245332951375488,0.645067517100308,0.717391304347826
0.9,0.05,3,1,300,0.5,2.0,0.7,XGBoost,0.024598677432269525,0.6446325410711777,0.717391304347826
0.7,0.05,5,1,200,0.5,2.0,0.9,XGBoost,0.024678330454594725,0.6441832238927211,0.717391304347826
0.7,0.05,5,1,300,0.5,2.0,0.9,XGBoost,0.024692218826628767,0.6441107828464409,0.717391304347826
0.9,0.1,5,3,100,0.5,2.0,0.9,XGBoost,0.024750933698762752,0.6437550261694165,0.717391304347826
0.7,0.2,6,3,100,0.5,2.0,0.9,XGBoost,0.024826230140396855,0.6436872323074698,0.717391304347826
0.9,0.1,5,3,200,0.5,2.0,0.9,XGBoost,0.024936389766877388,0.6419171969324174,0.717391304347826
0.9,0.05,3,1,100,0.5,1.0,0.7,XGBoost,0.02489248248387662,0.6417597099487289,0.717391304347826
0.7,0.2,6,3,300,0.5,2.0,0.9,XGBoost,0.02494321792004601,0.6417584922352413,0.717391304347826
0.9,0.1,5,3,100,0.5,1.0,0.9,XGBoost,0.024880806560477985,0.6417227977523798,0.717391304347826
0.7,0.05,6,3,100,0.0,1.0,0.9,XGBoost,0.02493104391878302,0.640835311385106,0.717391304347826
0.7,0.05,6,1,300,0.5,2.0,0.9,XGBoost,0.02493205564179857,0.6403867436578292,0.717391304347826
0.7,0.1,5,1,200,0.0,1.0,0.9,XGBoost,0.02498222116692492,0.6388174676608485,0.717391304347826
0.7,0.1,5,3,100,0.0,1.0,0.7,XGBoost,0.025223977378187972,0.6383956393347509,0.717391304347826
0.9,0.1,5,1,200,0.5,1.0,0.9,XGBoost,0.025472778364333214,0.6374745313105338,0.717391304347826
